移动,#genre#
云南卫视高清,http://182.245.29.132:8086/349/349.m3u8
元谋台,http://182.245.29.132:8086/424/424.m3u8
教育直播,http://182.245.29.132:8086/397/397.m3u8
熊猫频道,http://182.245.29.132:8086/374/374.m3u8
热播剧场,http://182.245.29.132:8086/195/195.m3u8
泸西台,http://182.245.29.132:8086/502/502.m3u8
楚雄一套,http://182.245.29.132:8086/259/259.m3u8
新动漫,http://182.245.29.132:8086/378/378.m3u8
IPTV-6+测试,http://182.245.29.132:8086/346/346.m3u8
测试频道2,http://182.245.29.132:8086/242/242.m3u8
CCTV-7,http://182.245.29.132:8086/142/142.m3u8
沧源台,http://182.245.29.132:8086/362/362.m3u8
CCTV-10,http://182.245.29.132:8086/145/145.m3u8
CCTV-10高清,http://182.245.29.132:8086/246/246.m3u8
师宗台,http://182.245.29.132:8086/495/495.m3u8
腾冲台,http://182.245.29.132:8086/435/435.m3u8
德宏公共-民语高清,http://182.245.29.132:8086/266/266.m3u8
贵州卫视,http://182.245.29.132:8086/168/168.m3u8
山东教育卫视,http://182.245.29.132:8086/443/443.m3u8
云南六套,http://182.245.29.132:8086/465/465.m3u8
大理市台,http://182.245.29.132:8086/496/496.m3u8
CCTV-4-SD-点播,http://182.245.29.132:8086/478/478.m3u8
爱上综艺,http://182.245.29.132:8086/350/350.m3u8
昌宁台,http://182.245.29.132:8086/410/410.m3u8
CCTV-11-SD-点播,http://182.245.29.132:8086/474/474.m3u8
IPTV-3+,http://182.245.29.132:8086/138/138.m3u8
武术世界,http://182.245.29.132:8086/218/218.m3u8
河南卫视,http://182.245.29.132:8086/164/164.m3u8
点播_CCTV-1高清,http://182.245.29.132:8086/425/425.m3u8
福贡台,http://182.245.29.132:8086/335/335.m3u8
富源台,http://182.245.29.132:8086/436/436.m3u8
永仁台,http://182.245.29.132:8086/442/442.m3u8
收视指南,http://182.245.29.132:8086/194/194.m3u8
甘肃卫视,http://182.245.29.132:8086/186/186.m3u8
测试频道1,http://182.245.29.132:8086/241/241.m3u8
DV生活,http://182.245.29.132:8086/228/228.m3u8
总局验收测试,http://182.245.29.132:8086/455/455.m3u8
英语辅导,http://182.245.29.132:8086/239/239.m3u8
CCTV-9高清,http://182.245.29.132:8086/245/245.m3u8
临沧一套,http://182.245.29.132:8086/301/301.m3u8
丽江公共频道,http://182.245.29.132:8086/262/262.m3u8
昆明二套,http://182.245.29.132:8086/137/137.m3u8
云南四套高清,http://182.245.29.132:8086/133/133.m3u8
Channel [V],http://182.245.29.132:8086/295/295.m3u8
IPTV-6+,http://182.245.29.132:8086/141/141.m3u8
高清美食频道,http://182.245.29.132:8086/394/394.m3u8
耿马台,http://182.245.29.132:8086/361/361.m3u8
开远台,http://182.245.29.132:8086/459/459.m3u8
CCTV-12-SD-点播,http://182.245.29.132:8086/473/473.m3u8
康巴卫视,http://182.245.29.132:8086/336/336.m3u8
CCTV-7-SD-点播,http://182.245.29.132:8086/477/477.m3u8
北京纪实高清,http://182.245.29.132:8086/312/312.m3u8
永德台,http://182.245.29.132:8086/365/365.m3u8
永平台,http://182.245.29.132:8086/487/487.m3u8
禄丰台,http://182.245.29.132:8086/483/483.m3u8
深圳卫视,http://182.245.29.132:8086/169/169.m3u8
CCTV-17,http://182.245.29.132:8086/511/511.m3u8
武定台,http://182.245.29.132:8086/501/501.m3u8
中学生,http://182.245.29.132:8086/497/497.m3u8
云南六套高清,http://182.245.29.132:8086/151/151.m3u8
红河一套,http://182.245.29.132:8086/388/388.m3u8
版纳二套,http://182.245.29.132:8086/384/384.m3u8
云南三套高清,http://182.245.29.132:8086/132/132.m3u8
江西卫视高清,http://182.245.29.132:8086/445/445.m3u8
IPTV-5+,http://182.245.29.132:8086/140/140.m3u8
保山二套,http://182.245.29.132:8086/263/263.m3u8
爱上4K,http://182.245.29.132:8086/493/493.m3u8
罗平台,http://182.245.29.132:8086/441/441.m3u8
CGTN-SD-点播,http://182.245.29.132:8086/469/469.m3u8
IPTV-3+测试,http://182.245.29.132:8086/344/344.m3u8
大理三套,http://182.245.29.132:8086/340/340.m3u8
云南卫视,http://182.245.29.132:8086/466/466.m3u8
黑龙江卫视,http://182.245.29.132:8086/165/165.m3u8
迪庆藏语,http://182.245.29.132:8086/313/313.m3u8
昆明一套,http://182.245.29.132:8086/136/136.m3u8
梁河台,http://182.245.29.132:8086/437/437.m3u8
勐腊台,http://182.245.29.132:8086/418/418.m3u8
茶频道高清,http://182.245.29.132:8086/383/383.m3u8
绿春台,http://182.245.29.132:8086/504/504.m3u8
国学频道,http://182.245.29.132:8086/225/225.m3u8
CCTV-1高清,http://182.245.29.132:8086/193/193.m3u8
