4K测试,rtp://233.50.201.225:5140
西藏卫视,rtp://233.50.201.70:5140
喜剧电影,rtp://233.50.201.249:5140
新视觉,rtp://233.50.201.244:5140
新威体育,rtp://233.50.201.203:5140
新威体育,rtp://233.50.201.211:5140
央广购物,rtp://233.50.201.93:5140
音乐调频,rtp://233.50.201.82:5140
优购物,rtp://233.50.201.94:5140
游戏风云,rtp://233.50.200.14:5140
余杭,rtp://233.50.201.159:5140
院线大片,rtp://233.50.201.229:5140
云南卫视,rtp://233.50.200.81:5140
云南卫视,rtp://233.50.201.46:5140
在线执法,rtp://233.50.201.224:5140
浙江教科影视,rtp://233.50.201.134:5140
浙江经济,rtp://233.50.200.204:5140
浙江经济,rtp://233.50.201.81:5140
浙江经济,rtp://233.50.201.29:5140
浙江经济,rtp://233.50.201.133:5140
浙江科教,rtp://233.50.200.205:5140
浙江钱江,rtp://233.50.200.203:5140
浙江少儿,rtp://233.50.200.208:5140
浙江少儿,rtp://233.50.201.33:5140
浙江少儿,rtp://233.50.201.138:5140
浙江数码时代,rtp://233.50.201.71:5140
浙江数码时代,rtp://233.50.201.71:5139
浙江数码时代,rtp://233.50.201.223:5140
浙江体育,rtp://233.50.200.206:5140
浙江卫视,rtp://233.50.200.145:5140
浙江卫视,rtp://233.50.200.231:5140
浙江卫视,rtp://233.50.200.79:5140
浙江卫视,rtp://233.50.200.79:5139
浙江卫视,rtp://233.50.201.27:5139
浙江卫视,rtp://233.50.201.221:5140
浙江卫视,rtp://233.50.201.27:5140
浙江卫视,rtp://233.50.201.100:5140
浙江新闻,rtp://233.50.200.207:5139
浙江新闻,rtp://233.50.200.207:5140
浙江新闻,rtp://233.50.201.34:5140
浙江新闻,rtp://233.50.201.137:5140
浙江新闻,rtp://233.50.201.80:5140
浙江之声,rtp://233.50.201.79:5140
重庆卫视,rtp://233.50.200.86:5140
重庆卫视,rtp://233.50.201.66:5140
重庆卫视,rtp://233.50.201.143:5140
珠峰直播,rtp://233.50.201.226:5140
珠峰直播,rtp://233.50.201.227:5140
衢州公共HD,rtp://233.50.202.12:5140
衢州新闻HD,rtp://233.50.202.11:5140
优优宝贝,rtp://233.50.202.24:5140
CCTV1,rtp://233.50.202.22:5140
之江纪录HD,rtp://233.50.202.25:5140
CCTV1,rtp://233.50.202.21:5140
晴彩竞技HD,rtp://233.50.202.26:5140
晴彩篮球HD,rtp://233.50.202.27:5140
晴彩广场舞HD,rtp://233.50.202.29:5140
晴彩羽毛球HD,rtp://233.50.202.28:5140
